,stardate,color,name,species,position,rank,designation,description,source,color_group
0,2153,#5B1414,Fuller,Human,Tactical officer,Crewman,Other/No Designation,Killed by Osaarian pirates,"ENT: ""Anomaly""",Red
1,2153,Unknown/Other,Sim,Mimetic simbiot,,Other/No Rank,Other/No Designation,Created to provide Charles Tucker III with vital brain tissue; lived fifteen days,"ENT: ""Similitude""",Unknown/Other
2,2153,#5B1414,Unnamed,Human,,Crewman,Other/No Designation,Shot by a Xindi bio weapon,"ENT: ""Rajiin""",Red
3,2153,#5B1414,Unnamed,Human,,Crewman,Other/No Designation,Shot by a Xindi bio weapon,"ENT: ""Rajiin""",Red
4,2153,#073835,Unnamed,Human,,Crewman,Other/No Designation,Killed by a Triannon organic explosive and the resulting decompression,"ENT: ""Chosen Realm""",Green/Blue
5,2153 | 2154,transparent,"O'Malley, Patricia F.",Human,,Ensign,Other/No Designation,"Died ""in a battle with a hostile species""","ENT: ""Storm Front, Part II""",Unknown/Other
6,2154,#5B1414,Burrows,Human,Armory officer,Ensign,Other/No Designation,Killed by the Quinn Erickson subspace entity,"ENT: ""Daedalus""",Red
7,2154,transparent,Kamata,Human,,Crewman,Other/No Designation,Trapped in section decompression during a Xindi battle,"ENT: ""The Forgotten""",Unknown/Other
8,2154,transparent,Marcel,Human,,Ensign,Other/No Designation,Killed during a Xindi attack,"ENT: ""The Forgotten""",Unknown/Other
9,2154,#5B1414,"Taylor, Jane",Human,EPS control specialist,Lieutenant,Other/No Designation,Trapped in section decompression during a Xindi battle,"ENT: ""The Forgotten""",Red
10,2154,#5B1414,Unnamed,Human,Engineer,Crewman,Other/No Designation,Caught on fire during the battle with the Xindi-Reptilians at Azati Prime. (WIA),"ENT: ""Azati Prime""",Red
11,2154,#5B1414,Unnamed,Human,Engineer,Crewman,Other/No Designation,Hit by an energy disruption from one of the Sphere-Builders. (WIA),"ENT: ""Zero Hour""",Red
12,2155,#5B1414,Masaro,Human,Engineer,Ensign,Other/No Designation,Committed suicide after being revealed as a spy for Terra Prime,"ENT: ""Terra Prime""",Red
13,2161,#5B1414,"Tucker III, Charles",Human,Chief engineer,Commander,Other/No Designation,Massive plasma burns; sacrificed himself to save Captain Archer,"ENT: ""These Are the Voyages...""",Red
14,2153,#AD722C,"Robinson, A.G.",Human,,Other/No Rank,Other/No Designation,Mountain climbing accident,"ENT: ""First Flight""",Yellow
15,2154,#5B1414,Askwith,Human,Security guardUnited Earth Embassy,Corporal,Other/No Designation,Put into a coma by the attack on the United Earth Embassy on Vulcan. (WIA),"ENT: ""The Forge""",Red
16,2154,#FFFFFF,"Forrest, Maxwell",Human,Admiralty,Vice Admiral,Other/No Designation,Perished in an attack on the United Earth Embassy on Vulcan,"ENT: ""The Forge""",White
17,2164,Unknown/Other,"Cormier, Randall",Human,,Other/No Rank,Other/No Designation,The USS Franklin crash landed on the planet Altamid,Star Trek Beyond,Unknown/Other
18,2164,#1A3F73,"Crosby, Mae",Human,,Unknown Rank,Other/No Designation,The USS Franklin crash landed on the planet Altamid,Star Trek Beyond,Green/Blue
19,2164,#742222,"Noble, Meghan",Human,,Unknown Rank,Other/No Designation,The USS Franklin crash landed on the planet Altamid,Star Trek Beyond,Red
20,2164,#742222,"Peters, Britni",Human,,Unknown Rank,Other/No Designation,The USS Franklin crash landed on the planet Altamid,Star Trek Beyond,Red
21,2164,#742222,"Smith, Craig",Human,,Unknown Rank,Other/No Designation,The USS Franklin crash landed on the planet Altamid,Star Trek Beyond,Red
22,2164,#742222,"Yanovich, Laura",Human,,Unknown Rank,Other/No Designation,The USS Franklin crash landed on the planet Altamid,Star Trek Beyond,Red
23,2167,Unknown/Other,"Kelly, Morgan",Human,Lieutenant,Lieutenant,Other/No Designation,USS Essex destroyed at a moon of Mab-Bu VI,"TNG: ""Power Play""",Unknown/Other
24,2167,Unknown/Other,"Mullen, Steven",Human,Commander,Commander,Other/No Designation,USS Essex destroyed at a moon of Mab-Bu VI,"TNG: ""Power Play""",Unknown/Other
25,2167,Unknown/Other,"Shumar, Bryce",Human,Captain,Other/No Rank,Other/No Designation,USS Essex destroyed at a moon of Mab-Bu VI,"TNG: ""Power Play""",Unknown/Other
26,2256,#B87333,Kowski,Human,Security officer,Unknown rank,Other/No Designation,Killed by Ripper,"DIS: ""Context Is for Kings""",Yellow
27,2256,#B87333,"Landry, Ellen",Human,Chief of security,Commander,Other/No Designation,Killed by Ripper,"DIS: ""The Butcher's Knife Cares Not for the Lamb's Cry""",Yellow
28,2257,#C0C0C0,Hugh Culber,Human,Physician,Lieutenant Commander,Other/No Designation,Neck broken by Ash Tyler *resurrected by the jahSepp incarnation of May Ahearn in 2257,"DIS: ""Despite Yourself"", reversed in DIS: ""Saints of Imperfection""",Gray
29,2257,#C0C0C0,Airiam,Human (cyborg),Spore drive ops officer,Lieutenant Commander,Other/No Designation,Ejected out of an airlock into space by Nhan,"DIS: ""Project Daedalus""",Gray
30,2265,#62749A,"Dehner, Elizabeth",Human,Psychiatrist,Unknown Officer Rank,Other/No Designation,Killed by esper Gary Mitchell,"TOS: ""Where No Man Has Gone Before""",Green/Blue
31,2265,#F6DBD0,"Kelso, Lee",Human,Navigator,Lieutenant,Other/No Designation,Strangled by esper Gary Mitchell,"TOS: ""Where No Man Has Gone Before""",Yellow
32,2265,#F6DBD0,"Mitchell, Gary",Human,Helmsman,Lieutenant Commander,Other/No Designation,Killed by James T. Kirk after exposure to galactic barrier,"TOS: ""Where No Man Has Gone Before""",Yellow
33,2266,transparent,Barnhart,Human,Crewman,Crewman,Other/No Designation,Killed by an M-113 creature for sustenance,"TOS: ""The Man Trap""",Unknown/Other
34,2266,#62749A,Darnell,Human,Medical assistant,Crewman,Other/No Designation,Killed by an M-113 creature for sustenance,"TOS: ""The Man Trap""",Green/Blue
35,2266,#B59C5A,Green,Human,Security Officer,Crewman,Other/No Designation,Killed by an M-113 creature for sustenance,"TOS: ""The Man Trap""",Yellow
36,2266,#A01502,Mathews,Human,Security Officer,Crewman,Other/No Designation,Pushed over a cliff by Ruk,"TOS: ""What Are Little Girls Made Of?""",Red
37,2266,#A01502,Rayburn,Human,Security Officer,Crewman,Other/No Designation,Suffocated by Ruk,"TOS: ""What Are Little Girls Made Of?""",Red
38,2266,#62749A,Sturgeon,Human,Science Officer,Crewman,Other/No Designation,Killed by an M-113 creature for sustenance,"TOS: ""The Man Trap""",Green/Blue
39,2266,#B59C5A,"Tomlinson, Robert",Human,Phaser control specialist,Lieutenant,Other/No Designation,Exposed to phaser coolant,"TOS: ""Balance of Terror""",Yellow
